ndc11,year,total_units,total_prescriptions,avg_units_yoy_growth,total_amount_reimbursed,medicaid_amount_reimbursed,avg_amount_per_unit,avg_amount_per_rx,medicaid_risk_score
206240401,2022,0.0,0.0,,0.0,0.0,,,0.0
206240401,2024,0.0,0.0,,0.0,0.0,,,0.0
206241101,2022,0.0,0.0,,0.0,0.0,,,0.0
206241102,2022,0.0,0.0,,0.0,0.0,,,0.0
206241102,2023,0.0,0.0,,0.0,0.0,,,0.0
206241302,2024,0.0,0.0,,0.0,0.0,,,0.0
206241601,2023,0.0,0.0,,0.0,0.0,,,0.0
206310001,2022,0.0,0.0,,0.0,0.0,,,0.0
206310001,2023,0.0,0.0,,0.0,0.0,,,0.0
206310001,2024,0.0,0.0,,0.0,0.0,,,0.0
206350110,2022,0.0,0.0,,0.0,0.0,,,0.0
206410002,2024,0.0,0.0,,0.0,0.0,,,0.0
206845525,2022,364.0,256.0,,0.0,0.0,0.0,0.0,0.00035741962238994204
206845525,2023,1220.0,374.0,2.601142457825807,0.0,0.0,0.0,0.0,1.00119794488823
206845525,2024,357.0,182.0,-0.5330938792645874,0.0,0.0,0.0,0.0,-0.5327433330964741
206885208,2022,0.0,0.0,,0.0,0.0,,,0.0
206885208,2023,0.0,0.0,,0.0,0.0,,,0.0
206885208,2024,0.0,0.0,,0.0,0.0,,,0.0
206885216,2022,211.0,51.0,,155288.18,154902.68,2940.96544798282,4689.672203282828,0.04570373614976089
206885216,2023,54.0,23.0,-0.8606965174129353,17199.59,17188.58,318.9368269230769,749.1925378787878,-0.8556043334193371
206885216,2024,0.0,0.0,-1.0,0.0,0.0,,,-1.0
206885408,2022,69.667,47.0,,18863.54,18863.54,398.2084344667581,480.35837235228536,0.00559507419050478
206885408,2023,0.0,0.0,-1.0,0.0,0.0,,,-1.0
206885408,2024,0.0,0.0,,0.0,0.0,,,0.0
206885416,2022,1212.687,774.0,,296269.02,295398.59,273.803854080071,328.5357172965878,0.08799208058321997
206885416,2023,20531.275,491.0,1.9617951710758683,336425.35,336341.08,679.3569283376938,889.869390867312,1.1187264862692992
206885416,2024,29.333,23.0,-0.9791390747887232,8050.58,8050.58,251.6256317501688,365.9081818181818,-0.9767516017552569
206885508,2022,14.25,12.0,,49203.68,49203.68,3452.889824561404,4100.306666666666,0.01442975614389416
206885508,2023,0.0,0.0,-1.0,0.0,0.0,,,-1.0
206885508,2024,0.0,0.0,,0.0,0.0,,,0.0
206885516,2022,1099.667,470.0,,9484.22,9376.07,12.28721521450504,20.08057492448444,0.003858487452514927
206885516,2023,3689.667,451.0,5.995283903966629,16934.84,16263.01,14.06498082897533,51.001039584777125,1.0085845587198663
206885516,2024,44.0,30.0,-0.888626423338531,14620.63,14620.63,297.55011982570807,431.83533492822966,-0.8842996459135337
206885518,2024,0.0,0.0,,0.0,0.0,,,0.0
206885910,2022,0.0,0.0,,0.0,0.0,,,0.0
206885910,2023,0.0,0.0,,0.0,0.0,,,0.0
206886001,2022,2918.5,129.0,,13496.04,10619.85,3.349737605159297,125.44700483870967,0.006819828358934311
206886001,2023,446.8,59.0,-0.888177969683545,16181.9,16181.9,65.32567458471057,230.5074946811569,-0.8829982509683304
206886001,2024,0.0,0.0,-1.0,0.0,0.0,,,-1.0
206886002,2022,787.5,292.0,,144770.43,128615.01,200.7007183256136,515.3013603024216,0.04318830893536908
206886002,2023,506.0,165.0,-0.6442495963149817,19635.47,19470.28,39.620469945439424,106.75987576466744,-0.6379999159920661
206886002,2024,364.5,87.0,-0.5334006057401086,77.13,77.13,0.6536440677966101,1.6068749999999998,-0.5330200975002145
206886101,2022,34782.134,12220.0,,1429489.47,1264677.77,92.90096188333258,207.23872181857757,0.4529671905944429
206886101,2023,17905.658,6327.0,-0.2636443347137304,789387.84,617872.27,63.94389074220985,134.79595410428982,-0.014786408702126719
206886101,2024,2094.35,657.0,-0.8216964705798852,24966.33,9375.85,18.41521634329431,38.62539207052335,-0.8123253114832785
206886102,2022,39152.753,11754.0,,3413185.79,3098979.3200000003,110.26577191546887,244.89033516056148,1.0384449510787914
206886102,2023,20752.291,7810.0,-0.3566827225305183,2295763.78,2082229.91,168.65131669801957,270.46611388077866,0.336310528520719
206886102,2024,3631.325,1956.0,-0.7358207438110704,1374613.91,1354499.26,383.69328401858354,495.8839145919807,-0.32951873830193673
206886201,2022,9501.834,4823.0,,179891.45,95695.27,142.5248412107728,48.703832742701486,0.0620349116608395
206886201,2023,3902.227,2153.0,-0.2371119775126608,236499.55,44718.99,1919.770458072464,90.71626365342262,-0.1639903221793917
206886201,2024,197.872,51.0,-0.989922698967372,4841.26,4402.860000000001,26.37976284616005,85.00180098684211,-0.9883100048878043
206886202,2022,10928.78,5518.0,,479390.19,313421.04,64.79685873220897,137.2340701603274,0.1511836258116988
206886202,2023,8136.82,3814.0,-0.229620932047646,396003.62,246611.93,63.832591189179325,117.29781640362668,-0.10560950850510147
206886202,2024,1105.9499999999998,704.0,-0.8244774520150395,58425.22,36202.28,42.1074644808531,63.4293421851906,-0.8062739917494259
338963201,2023,3897.0,39.0,,1138.94,1138.94,0.2680478474948433,24.392291666666665,0.004160238440054467
338963201,2024,6648.0,76.0,-0.2547741034000931,12295.39,12248.64,2.093706300465974,183.65111875,-0.24464396492979232
338963224,2023,7850.0,12.0,,2440.97,2440.97,0.3109515923566879,203.41416666666663,0.008423246853179852
338963224,2024,13222.0,68.0,0.1719745222929936,95299.61,95269.53,14.795436968575572,1620.6170851023976,0.21287851001908825
338963601,2023,364619.971,4947.0,,527674.98,426203.89,3.9348349784186905,209.86141311380945,0.5126273475062576
338963601,2024,680821.872,8579.0,2.504736313911354,900956.68,724491.19,2.751247397117221,162.93972621709878,1.9324775634361044
338963624,2023,275662.784,1842.0,,2247891.8,2135152.0,6.841168905305926,712.8532598128754,0.9292698818306944
338963624,2024,1018410.79,4774.0,9.696530573896082,3100439.31,2851556.63,3.823720551930117,475.6039168038873,2.9083710939731002
338963801,2023,330652.0,2481.0,,449947.12,184742.87,1.9251916718262465,211.77227315725696,0.4565006297903612
338963801,2024,478410.75,3836.0,0.188375547895309,692542.5599999999,453784.29,2.0027224577012506,177.2884607035883,0.8610397059567735
338963812,2023,255420.0,1030.0,,309777.51,96354.41,2.7424429815163185,395.2353093962469,0.3415615803335006
338963812,2024,650198.0,2008.0,1.6608495369966845,228670.01,185244.82,1.1158349563110457,121.3132554693661,1.7054398091963963
